booking_code,booking_received_at,booking_pushed_at,latency_interval,latency_in_seconds
GXM250318PSXTUW2C,2025-03-18T04:18:41.857,2025-03-18T04:19:00.357,0 years 0 mons 0 days 0 hours 0 mins 18.50 secs,18.500000
GXM250304UCDCMCKM,2025-03-04T15:13:06.085,2025-03-04T15:14:00.179,0 years 0 mons 0 days 0 hours 0 mins 54.094 secs,54.094000
GXM250318WKTW1CQ9,2025-03-18T05:38:28.21,2025-03-18T05:39:00.145,0 years 0 mons 0 days 0 hours 0 mins 31.935 secs,31.935000
GXM250304IP9XUZE9,2025-03-04T04:56:09.513,2025-03-04T04:57:00.15,0 years 0 mons 0 days 0 hours 0 mins 50.637 secs,50.637000
GXM250318BE9KKPAP,2025-03-18T07:24:42.369,2025-03-18T07:27:00.257,0 years 0 mons 0 days 0 hours 2 mins 17.888 secs,137.888000
GXM250318ALN8VAFU,2025-03-18T07:26:30.741,2025-03-18T07:27:00.367,0 years 0 mons 0 days 0 hours 0 mins 29.626 secs,29.626000
GXM250318CMUOJJGC,2025-03-18T07:31:01.289,2025-03-18T07:32:00.182,0 years 0 mons 0 days 0 hours 0 mins 58.893 secs,58.893000
GXM25031812FEOOLD,2025-03-18T09:43:47.141,2025-03-18T09:44:00.213,0 years 0 mons 0 days 0 hours 0 mins 13.072 secs,13.072000
GXM2503188KNCIR_Y,2025-03-18T10:58:32.479,2025-03-18T10:59:00.158,0 years 0 mons 0 days 0 hours 0 mins 27.679 secs,27.679000
GXM250318GEEA8CWQ,2025-03-18T11:14:55.402,2025-03-18T11:15:00.2,0 years 0 mons 0 days 0 hours 0 mins 4.798 secs,4.798000
GXM250318I0WN-DHH,2025-03-18T11:55:43.596,2025-03-18T11:56:00.173,0 years 0 mons 0 days 0 hours 0 mins 16.577 secs,16.577000
GXM250304QDTAODLA,2025-03-04T16:15:51.415,2025-03-04T16:16:00.155,0 years 0 mons 0 days 0 hours 0 mins 8.74 secs,8.740000
GXM250319CV0I_BNS,2025-03-19T07:35:36.07,2025-03-19T07:36:00.191,0 years 0 mons 0 days 0 hours 0 mins 24.121 secs,24.121000
NH75147392099402,2025-03-19T08:43:25.363,2025-03-19T08:44:00.195,0 years 0 mons 0 days 0 hours 0 mins 34.832 secs,34.832000
GXM2503191BYF39MQ,2025-03-19T09:00:02.585,2025-03-19T09:01:00.184,0 years 0 mons 0 days 0 hours 0 mins 57.599 secs,57.599000
GXM2503193TR5CXLU,2025-03-19T10:26:46.569,2025-03-19T10:27:00.166,0 years 0 mons 0 days 0 hours 0 mins 13.597 secs,13.597000
GXM2503190_C3KFXV,2025-03-19T10:35:30.622,2025-03-19T10:36:00.168,0 years 0 mons 0 days 0 hours 0 mins 29.546 secs,29.546000
HMZWAFB4RR,2025-03-19T10:44:22.148,2025-03-19T10:45:00.447,0 years 0 mons 0 days 0 hours 0 mins 38.299 secs,38.299000
GXM250319U_PBDW_X,2025-03-19T10:45:56.163,2025-03-19T10:46:00.156,0 years 0 mons 0 days 0 hours 0 mins 3.993 secs,3.993000
YRMGCPAHUY,2025-03-19T11:10:32.98,2025-03-19T11:11:00.228,0 years 0 mons 0 days 0 hours 0 mins 27.248 secs,27.248000
HMWSFBKSDK,2025-03-19T11:14:22.818,2025-03-19T11:15:00.172,0 years 0 mons 0 days 0 hours 0 mins 37.354 secs,37.354000
HMZPEMNFHN,2025-03-19T11:21:43.126,2025-03-19T11:22:00.167,0 years 0 mons 0 days 0 hours 0 mins 17.041 secs,17.041000
GXM25031990VBEIF0,2025-03-19T11:22:55.74,2025-03-19T11:23:00.217,0 years 0 mons 0 days 0 hours 0 mins 4.477 secs,4.477000
GXM25031913PXKY4N,2025-03-19T11:44:41.272,2025-03-19T11:45:00.381,0 years 0 mons 0 days 0 hours 0 mins 19.109 secs,19.109000
GXM2503194WN6ILXA,2025-03-19T11:47:33.615,2025-03-19T11:48:00.134,0 years 0 mons 0 days 0 hours 0 mins 26.519 secs,26.519000
NH93218392195982,2025-03-19T11:51:06.788,2025-03-19T11:52:00.223,0 years 0 mons 0 days 0 hours 0 mins 53.435 secs,53.435000
GXM250319BFX1CUEC,2025-03-19T12:12:38.981,2025-03-19T12:13:00.177,0 years 0 mons 0 days 0 hours 0 mins 21.196 secs,21.196000
GXM250319WQKS5Y-O,2025-03-19T13:09:27.026,2025-03-19T13:10:00.228,0 years 0 mons 0 days 0 hours 0 mins 33.202 secs,33.202000
GXM250305BAFQYK_O,2025-03-05T05:29:19.757,2025-03-05T05:30:00.209,0 years 0 mons 0 days 0 hours 0 mins 40.452 secs,40.452000
GXM250305CEODR__J,2025-03-05T05:27:18,2025-03-05T05:28:00.162,0 years 0 mons 0 days 0 hours 0 mins 42.162 secs,42.162000
GXM250305CTHB7HE4,2025-03-05T06:08:32.467,2025-03-05T06:09:00.121,0 years 0 mons 0 days 0 hours 0 mins 27.654 secs,27.654000
GXM250305NAGTFBTX,2025-03-05T06:06:32.177,2025-03-05T06:10:00.194,0 years 0 mons 0 days 0 hours 3 mins 28.017 secs,208.017000
HMS3DFZS4K,2025-03-05T06:28:58.992,2025-03-05T06:29:00.135,0 years 0 mons 0 days 0 hours 0 mins 1.143 secs,1.143000
HM4S5X2EBE,2025-03-05T06:32:01.922,2025-03-05T06:33:00.223,0 years 0 mons 0 days 0 hours 0 mins 58.301 secs,58.301000
HMDJJBF5AP,2025-03-05T06:34:44.032,2025-03-05T06:35:00.192,0 years 0 mons 0 days 0 hours 0 mins 16.16 secs,16.160000
HM3FCTFAZZ,2025-03-05T06:47:05.801,2025-03-05T06:48:00.302,0 years 0 mons 0 days 0 hours 0 mins 54.501 secs,54.501000
GXM250305I0XF2T5W,2025-03-05T10:24:57.28,2025-03-05T10:25:00.168,0 years 0 mons 0 days 0 hours 0 mins 2.888 secs,2.888000
GXM250305563HMADI,2025-03-05T10:27:37.883,2025-03-05T10:28:00.145,0 years 0 mons 0 days 0 hours 0 mins 22.262 secs,22.262000
GXM250305NCBM4UPY,2025-03-05T12:37:23.181,2025-03-05T12:38:00.174,0 years 0 mons 0 days 0 hours 0 mins 36.993 secs,36.993000
GXM25030506UTXNIZ,2025-03-05T12:48:55.939,2025-03-05T12:49:00.15,0 years 0 mons 0 days 0 hours 0 mins 4.211 secs,4.211000
GXM250305OW3JTMO2,2025-03-05T12:54:42.175,2025-03-05T12:55:00.158,0 years 0 mons 0 days 0 hours 0 mins 17.983 secs,17.983000
GXM250306O1O6M4GF,2025-03-06T05:21:24.585,2025-03-06T05:22:00.182,0 years 0 mons 0 days 0 hours 0 mins 35.597 secs,35.597000
GXM250306MUPUALER,2025-03-06T11:18:41.449,2025-03-06T11:19:00.144,0 years 0 mons 0 days 0 hours 0 mins 18.695 secs,18.695000
GXM250311LRW6AHIQ,2025-03-11T10:13:13.458,2025-03-11T10:14:00.165,0 years 0 mons 0 days 0 hours 0 mins 46.707 secs,46.707000
